,id,name,username,created_at,protected,verified,location,description,followers_count,following_count,tweet_count,account_type
0,53805021,pan,guowei534,2009-07-05T01:14:40.000Z,FALSE,FALSE,,,0,0,7,1
1,66317516,OG,Aridego,2009-08-17T09:21:25.000Z,FALSE,FALSE,,,92,504,1188,1
2,483428005,Kloud ѕтrιғe,FinalFantasyRef,2012-02-05T00:49:59.000Z,FALSE,FALSE,"Nibelheim, Planet",#finalfantasyreference FF references + trend follower #allthetime #teamfollowback #teamfinalfantasy #teamHML #eatmymoogle,115,0,210,1
3,2583514062,Prophet Nyce,ProphetNyce,2014-06-23T07:15:59.000Z,FALSE,FALSE,Savannah Ga,"Live lyfe , fuck $tress ,stay Single",0,0,89,1
4,1029591324,Aisha,Bizzle0_2,2012-12-23T01:19:32.000Z,FALSE,FALSE,,"belieber since 09’, Aussie Stan, cosplayer, I make tiktoks 🤷🏻‍♀️23",1529,1417,40057,1
5,66946309,Rio May,05neaL,2009-08-19T08:15:18.000Z,FALSE,FALSE,Philippines,"Rio Here.
One thing that best describes me is 'OPTIMISTIC' ♥",4,0,85,1
6,62523306,vinay,vinaybahirwani,2009-08-03T14:12:40.000Z,FALSE,FALSE,,,31,8,27,1
7,86899186,Qiqa Rios,eriiqaaa,2009-11-02T08:15:34.000Z,FALSE,FALSE,Guadalajara,víctima de la música ... 🎶🎤,81,2750,141,1
8,152688783,Abner Ignatius,AbnerJosh,2010-06-06T16:27:08.000Z,FALSE,FALSE,Abu Dhabi,,46,609,157,1
9,98552620,Icha Ayank (Citra),icha_ayank,2009-12-22T04:55:14.000Z,FALSE,FALSE,Jakarta,,30,0,162,1
10,120347588,jatin maru,jatin4love,2010-03-06T05:09:18.000Z,FALSE,FALSE,,,9,623,38,1
11,192324509,Jess,JessssicaG,2010-09-18T20:29:19.000Z,TRUE,FALSE,,but I'm from Cali so. . . .,49,66,14416,1
12,175323793,Arda UTKU,ardautku1,2010-08-06T08:26:03.000Z,FALSE,FALSE,,"Kendi yolunda yanlış yöne gitmek, başka birinin yolunda doğru yöne gitmekten iyidir.",346,442,14991,1
13,153302611,Ardi Cahyadi Syarif,ardicsyarif,2010-06-08T05:39:18.000Z,FALSE,FALSE,"West Java, ","Untuk setiap masalah yang dihadapi, lihat dulu sejarahnya. Baru kita bisa berfikir jernih",109,131,709,1
14,185581589,vinay jhanwar,bajrio,2010-09-01T10:06:56.000Z,FALSE,FALSE,,,78,876,126,1
15,213236277,Wesley Oliveira,0Wesley1,2010-11-08T11:03:25.000Z,FALSE,FALSE,São Paulo,,8,0,38,1
16,214645135,Glorialibeth R,Gigilyn1023,2010-11-11T22:10:53.000Z,FALSE,FALSE,Miami,A day without LAUGHTER is a day WASTED! :D,41,0,209,1
17,221037228,harshal k,gNr_rules,2010-11-29T15:27:09.000Z,FALSE,FALSE,,,0,211,7,1
18,229030007,Candika Netrolizer,Candika_Nanda,2010-12-21T09:55:19.000Z,FALSE,FALSE,"Padalarang,West Java","Half Of My Life For Support @ManUtd |I'm Not Perfect But I'm Limited Edition|Too Fast To Live,Too Young To Die",67,0,1895,1
19,224910448,cho chan kyoung,chochanchan,2010-12-10T05:13:07.000Z,FALSE,FALSE,,,1,0,56,1
20,230234610,wesly maas,weskem,2010-12-24T17:57:41.000Z,FALSE,FALSE,,,4,443,56,1
21,233278495,eugenio sales,Eugenio_Sk,2011-01-02T20:30:10.000Z,FALSE,FALSE,Brasil,"EU AMO FUTEBOL, SOU UM FIEL ETERNO CORINTIANO.",0,0,9,1
22,231218407,Addison Thomas,NewYorkS0ul,2010-12-27T23:06:18.000Z,FALSE,FALSE,New York ,A real chill dude. That bangs to dubstep.,4,0,142,1
23,233440767,jeremy,jeremonian,2011-01-03T06:52:34.000Z,FALSE,FALSE,"Jakarta, Indonesia","Came as a King, Left as a Legend",63,403,83,1
24,240737264,Unique Trading,sureshguntha,2011-01-20T16:37:40.000Z,FALSE,FALSE,,"Views On Nifty,Bank Nifty and Options, Crudeoil, Silver Mostly Intraday!! Views are Personal!! Please connect with your advisor before any decision made.",60,1040,1155,1
